ensembl_id,gene_chr,start,end,strand,gene_name,gene_type,gene_biotype,biotype_other,biotype_lnc_rna,biotype_protein_coding,biotype_antisense,locus_type,ld_locus_id
ENSG00000142599,1,8352397,8817643,-,RERE,protein_coding,protein_coding,0,0,1,0,locus,chr1_290
ENSG00000232912,1,8424645,8434838,+,RP5-1115A15.1,antisense,antisense,0,0,0,1,locus,chr1_290
ENSG00000270282,1,8512653,8513021,+,RP5-1115A15.2,processed_pseudogene,other,1,0,0,0,locus,chr1_290
ENSG00000226545,1,8798475,8799506,+,RP4-633I8.3,unprocessed_pseudogene,other,1,0,0,0,locus,chr1_290
ENSG00000142949,1,43525187,43623666,+,PTPRF,protein_coding,protein_coding,0,0,1,0,locus,chr1_167
ENSG00000066135,1,43650158,43705515,+,KDM4A,protein_coding,protein_coding,0,0,1,0,locus,chr1_167
ENSG00000236200,1,43699765,43708138,-,KDM4A-AS1,antisense,antisense,0,0,0,1,locus,chr1_167
ENSG00000126091,1,43705824,43931165,+,ST3GAL3,protein_coding,protein_coding,0,0,1,0,locus,chr1_167
ENSG00000229444,1,43709392,43727343,-,RP11-184I16.4,antisense,antisense,0,0,0,1,locus,chr1_167
ENSG00000132781,1,45329163,45340470,-,MUTYH,protein_coding,protein_coding,0,0,1,0,locus,chr1_193
ENSG00000132773,1,45339670,45343975,+,TOE1,protein_coding,protein_coding,0,0,1,0,locus,chr1_193
ENSG00000070759,1,45343883,45491166,-,TESK2,protein_coding,protein_coding,0,0,1,0,locus,chr1_193
ENSG00000236872,1,45415020,45415344,+,RP11-291L19.1,processed_pseudogene,other,1,0,0,0,locus,chr1_193
ENSG00000132763,1,45500053,45513382,+,MMACHC,protein_coding,protein_coding,0,0,1,0,locus,chr1_193
ENSG00000117450,1,45511036,45523047,-,PRDX1,protein_coding,protein_coding,0,0,1,0,locus,chr1_193
ENSG00000234379,1,45530927,45532139,+,HMGB1P48,unprocessed_pseudogene,other,1,0,0,0,locus,chr1_193
ENSG00000117448,1,45550543,45570049,+,AKR1A1,protein_coding,protein_coding,0,0,1,0,locus,chr1_193
ENSG00000172260,1,71395940,72282734,-,NEGR1,protein_coding,protein_coding,0,0,1,0,gene,chr1_1070
ENSG00000237435,1,95937901,96022880,+,RP11-147C23.1,lincRNA,lnc_rna,0,1,0,0,gene,chr1_1230
ENSG00000162706,1,159171609,159203313,+,CADM3,protein_coding,protein_coding,0,0,1,0,locus,chr1_243
ENSG00000225670,1,159195985,159207973,-,CADM3-AS1,antisense,antisense,0,0,0,1,locus,chr1_243
ENSG00000213088,1,159203307,159206500,+,ACKR1,protein_coding,protein_coding,0,0,1,0,locus,chr1_243
ENSG00000154380,1,225486835,225653142,-,ENAH,protein_coding,protein_coding,0,0,1,0,gene,chr1_2230
ENSG00000143882,2,10721649,10785110,+,ATP6V1C2,protein_coding,protein_coding,0,0,1,0,gene,chr2_333
ENSG00000143951,2,63121383,63827843,-,WDPCP,protein_coding,protein_coding,0,0,1,0,locus,chr2_64
ENSG00000233716,2,63232453,63233577,-,AC074367.1,processed_pseudogene,other,1,0,0,0,locus,chr2_64
ENSG00000279485,2,63517892,63519268,-,RP11-391A7.1,TEC,other,1,0,0,0,locus,chr2_64
ENSG00000014641,2,63588609,63607197,+,MDH1,protein_coding,protein_coding,0,0,1,0,locus,chr2_64
ENSG00000229920,2,63642455,63644038,-,RPS4XP5,transcribed_processed_pseudogene,other,1,0,0,0,locus,chr2_64
ENSG00000231723,2,103623630,103623830,+,AC018880.2,processed_pseudogene,other,1,0,0,0,gene,chr2_1070
ENSG00000257640,2,143295586,143572105,-,RP11-570L15.2,antisense,antisense,0,0,0,1,gene,chr2_1384
ENSG00000144283,2,158456964,158682879,+,PKP4,protein_coding,protein_coding,0,0,1,0,locus,chr2_166
ENSG00000227331,2,158548425,158549224,+,AC005042.2,processed_pseudogene,other,1,0,0,0,locus,chr2_166
ENSG00000204380,2,158658337,158735002,-,AC005042.4,antisense,antisense,0,0,0,1,locus,chr2_166
ENSG00000228586,2,158685903,158753775,+,AC005042.5,lincRNA,lnc_rna,0,1,0,0,locus,chr2_166
ENSG00000231675,2,158703287,158703460,+,AC005042.3,processed_pseudogene,other,1,0,0,0,locus,chr2_166
ENSG00000197635,2,161992241,162074542,-,DPP4,protein_coding,protein_coding,0,0,1,0,locus,chr2_227
ENSG00000230918,2,162073256,162075169,+,AC008063.2,antisense,antisense,0,0,0,1,locus,chr2_227
ENSG00000225421,2,198553195,198772356,-,AC019330.1,lincRNA,lnc_rna,0,1,0,0,gene,chr2_1733
ENSG00000197585,2,214250040,214684246,-,AC107218.3,antisense,antisense,0,0,0,1,locus,chr2_132
ENSG00000174453,2,214411065,214578959,+,VWC2L,protein_coding,protein_coding,0,0,1,0,locus,chr2_132
ENSG00000224257,2,214510196,214536890,+,VWC2L-IT1,sense_intronic,lnc_rna,0,1,0,0,gene,chr2_1837
ENSG00000068024,2,239048168,239401654,-,HDAC4,protein_coding,protein_coding,0,0,1,0,gene,chr2_2112
ENSG00000047849,3,47850690,48089272,-,MAP4,protein_coding,protein_coding,0,0,1,0,gene,chr3_565
ENSG00000183396,3,48620759,48621855,-,TMEM89,protein_coding,protein_coding,0,0,1,0,locus,chr3_8
ENSG00000225697,3,48625723,48635493,-,SLC26A6,protein_coding,protein_coding,0,0,1,0,locus,chr3_8
ENSG00000008300,3,48636469,48662915,-,CELSR3,protein_coding,protein_coding,0,0,1,0,locus,chr3_8
ENSG00000228350,3,48663776,48669174,+,CELSR3-AS1,antisense,antisense,0,0,0,1,locus,chr3_8
ENSG00000213672,3,48673844,48686364,-,NCKIPSD,protein_coding,protein_coding,0,0,1,0,locus,chr3_8
ENSG00000068745,3,48688003,48740353,-,IP6K2,protein_coding,protein_coding,0,0,1,0,locus,chr3_8
ENSG00000114302,3,48744597,48847846,-,PRKAR2A,protein_coding,protein_coding,0,0,1,0,locus,chr3_8
ENSG00000224424,3,48847572,48851981,+,PRKAR2A-AS1,antisense,antisense,0,0,0,1,locus,chr3_8
ENSG00000178537,3,48856931,48898993,-,SLC25A20,protein_coding,protein_coding,0,0,1,0,locus,chr3_8
