ensembl_id,gene_chr,start,end,strand,gene_name,gene_type,gene_biotype,biotype_other,biotype_lnc_rna,biotype_protein_coding,biotype_antisense,ld_loci_id
ENSG00000142599,1,8352397,8817643,-,RERE,protein_coding,protein_coding,0,0,1,0,chr1_76
ENSG00000232912,1,8424645,8434838,+,RP5-1115A15.1,antisense,antisense,0,0,0,1,chr1_76
ENSG00000270282,1,8512653,8513021,+,RP5-1115A15.2,processed_pseudogene,other,1,0,0,0,chr1_76
ENSG00000226545,1,8798475,8799506,+,RP4-633I8.3,unprocessed_pseudogene,other,1,0,0,0,chr1_76
ENSG00000225099,1,42903232,42903912,+,ATP6V1E1P1,processed_pseudogene,other,1,0,0,0,chr1_448
ENSG00000142949,1,43525187,43623666,+,PTPRF,protein_coding,protein_coding,0,0,1,0,chr1_448
ENSG00000066135,1,43650158,43705515,+,KDM4A,protein_coding,protein_coding,0,0,1,0,chr1_448
ENSG00000236200,1,43699765,43708138,-,KDM4A-AS1,antisense,antisense,0,0,0,1,chr1_448
ENSG00000126091,1,43705824,43931165,+,ST3GAL3,protein_coding,protein_coding,0,0,1,0,chr1_448
ENSG00000229444,1,43709392,43727343,-,RP11-184I16.4,antisense,antisense,0,0,0,1,chr1_448
ENSG00000117407,1,43933320,43937241,+,ARTN,protein_coding,protein_coding,0,0,1,0,chr1_448
ENSG00000237950,1,43944370,43946551,-,RP11-7O11.3,antisense,antisense,0,0,0,1,chr1_448
ENSG00000117408,1,43946939,43968022,+,IPO13,protein_coding,protein_coding,0,0,1,0,chr1_448
ENSG00000132768,1,43970000,43973369,+,DPH2,protein_coding,protein_coding,0,0,1,0,chr1_448
ENSG00000117410,1,43974487,43978295,+,ATP6V0B,protein_coding,protein_coding,0,0,1,0,chr1_448
ENSG00000234093,1,44780331,44780715,-,RPS15AP11,processed_pseudogene,other,1,0,0,0,chr1_448
ENSG00000172260,1,71395940,72282734,-,NEGR1,protein_coding,protein_coding,0,0,1,0,chr1_660
ENSG00000237435,1,95937901,96022880,+,RP11-147C23.1,lincRNA,lnc_rna,0,1,0,0,chr1_790
ENSG00000143882,2,10721649,10785110,+,ATP6V1C2,protein_coding,protein_coding,0,0,1,0,chr2_103
ENSG00000272275,2,10767875,10770058,-,RP11-791G15.2,lincRNA,lnc_rna,0,1,0,0,chr2_103
ENSG00000143870,2,10783391,10837977,-,PDIA6,protein_coding,protein_coding,0,0,1,0,chr2_103
ENSG00000271952,2,10878269,10885118,+,RP11-245G13.2,lincRNA,lnc_rna,0,1,0,0,chr2_103
ENSG00000231723,2,103623630,103623830,+,AC018880.2,processed_pseudogene,other,1,0,0,0,chr2_717
ENSG00000144283,2,158456964,158682879,+,PKP4,protein_coding,protein_coding,0,0,1,0,chr2_1039
ENSG00000227331,2,158548425,158549224,+,AC005042.2,processed_pseudogene,other,1,0,0,0,chr2_1039
ENSG00000204380,2,158658337,158735002,-,AC005042.4,antisense,antisense,0,0,0,1,chr2_1039
ENSG00000228586,2,158685903,158753775,+,AC005042.5,lincRNA,lnc_rna,0,1,0,0,chr2_1039
ENSG00000231675,2,158703287,158703460,+,AC005042.3,processed_pseudogene,other,1,0,0,0,chr2_1039
ENSG00000197635,2,161992241,162074542,-,DPP4,protein_coding,protein_coding,0,0,1,0,chr2_1056
ENSG00000230918,2,162073256,162075169,+,AC008063.2,antisense,antisense,0,0,0,1,chr2_1056
ENSG00000225421,2,198553195,198772356,-,AC019330.1,lincRNA,lnc_rna,0,1,0,0,chr2_1252
ENSG00000064012,2,201233443,201287711,+,CASP8,protein_coding,protein_coding,0,0,1,0,chr2_1267
ENSG00000155749,2,201288271,201357398,-,ALS2CR12,protein_coding,protein_coding,0,0,1,0,chr2_1267
ENSG00000115993,2,201377207,201451611,-,TRAK2,protein_coding,protein_coding,0,0,1,0,chr2_1267
ENSG00000082146,2,201387858,201480846,+,STRADB,protein_coding,protein_coding,0,0,1,0,chr2_1267
ENSG00000213090,2,201410544,201413308,-,AC007256.5,processed_pseudogene,other,1,0,0,0,chr2_1267
ENSG00000197585,2,214250040,214684246,-,AC107218.3,antisense,antisense,0,0,0,1,chr2_1350
ENSG00000174453,2,214411065,214578959,+,VWC2L,protein_coding,protein_coding,0,0,1,0,chr2_1350
ENSG00000224257,2,214510196,214536890,+,VWC2L-IT1,sense_intronic,lnc_rna,0,1,0,0,chr2_1350
ENSG00000068024,2,239048168,239401654,-,HDAC4,protein_coding,protein_coding,0,0,1,0,chr2_1565
ENSG00000114646,3,47562239,47580792,-,CSPG5,protein_coding,protein_coding,0,0,1,0,chr3_329
ENSG00000173473,3,47585272,47782106,-,SMARCC1,protein_coding,protein_coding,0,0,1,0,chr3_329
ENSG00000214773,3,47601715,47604677,-,RP11-717D12.1,sense_intronic,lnc_rna,0,1,0,0,chr3_329
ENSG00000132153,3,47802909,47850195,+,DHX30,protein_coding,protein_coding,0,0,1,0,chr3_329
ENSG00000047849,3,47850690,48089272,-,MAP4,protein_coding,protein_coding,0,0,1,0,chr3_329
ENSG00000164045,3,48157146,48188402,-,CDC25A,protein_coding,protein_coding,0,0,1,0,chr3_329
ENSG00000164048,3,48241100,48299253,+,ZNF589,protein_coding,protein_coding,0,0,1,0,chr3_329
ENSG00000172113,3,48293264,48301685,-,NME6,protein_coding,protein_coding,0,0,1,0,chr3_329
ENSG00000229453,3,48306842,48328341,-,SPINK8,protein_coding,protein_coding,0,0,1,0,chr3_329
